Country,Company Name,Department,Cost Center
HQ Houston,NESR BVI,CEMENTING           ,C011100101
HQ Houston,NESR BVI,COILED TUBING       ,C011110101
HQ Houston,NESR BVI,HYDRAULIC FRACTURING,C011130101
HQ Houston,NESR BVI,PIPELINES           ,C011140101
HQ Houston,NESR BVI,ARTIFICIAL LIFT SERV,C011180101
HQ Houston,NESR BVI,SURFACE TESTING     ,C012300101
HQ Houston,NESR BVI,WL LOG - OPEN HOLE  ,C012310101
HQ Houston,NESR BVI,SLICKLINE           ,C012320101
HQ Houston,NESR BVI,DIRECTIONAL DRILLING,C013410101
HQ Houston,NESR BVI,TUBULAR RUNNING SERV,C013420101
HQ Houston,NESR BVI,DRILLING FLUIDS     ,C013440101
HQ Houston,NESR BVI,FISHING SERVICES    ,C013450101
HQ Houston,NESR BVI,MACHINE SHOP        ,C013460101
HQ Houston,NESR BVI,MANAGED PRESSURE DRI,C013470101
HQ Houston,NESR BVI,MANUFACTURING       ,C013480101
HQ Houston,NESR BVI,RIGS                ,C013490101
HQ Houston,NESR BVI,THROUGH TUBING      ,C013500101
HQ Houston,NESR BVI,MAINTENAN & WORKSHOP,C017700001
HQ Houston,NESR BVI,QHSE                ,C017700002
HQ Houston,NESR BVI,TRANSPORTATION      ,C017700003
HQ Houston,NESR BVI,FACILITY            ,C017700004
HQ Houston,NESR BVI,TECHNICAL MANAGEMENT,C017700005
HQ Houston,NESR BVI,LAB CTU & CMT       ,C017700006
HQ Houston,NESR BVI,WAREHOUSE           ,C017700007
HQ Houston,NESR BVI,LOGISTICS           ,C017700008
HQ Houston,NESR BVI,SUPPLY CHAIN        ,C018800001
HQ Houston,NESR BVI,FINANCE             ,C018800002
HQ Houston,NESR BVI,OFFICE FACILITY     ,C018800003
HQ Houston,NESR BVI,ADMIN GOVT & SECURIT,C018800004
HQ Houston,NESR BVI,BUSINESS DEVELOPMENT,C018800005
HQ Houston,NESR BVI,IT                  ,C018800006
HQ Houston,NESR BVI,HUMAN RESOURCES     ,C018800007
HQ Houston,NESR BVI,INTERNS             ,C018800008
HQ Houston,NESR BVI,MANAGEMENT          ,C018800009
HQ Houston,NESR BVI,LEGAL               ,C018800010
HQ Houston,NESR BVI,KSA HQ OVERHEAD     ,C019960001
HQ Houston,NESR BVI,EGYPT HQ OVERHEAD   ,C019960002
HQ Houston,NESR BVI,OMAN HQ OVERHEAD    ,C019960003
HQ Houston,NESR BVI,ALGERIA HQ OVERHEAD ,C019960004
HQ Houston,NESR BVI,UAE HQ OVERHEAD     ,C019960005
HQ Houston,NESR BVI,QATAR HQ OVERHEAD   ,C019960006
HQ Houston,NESR BVI,IRAQ HQ OVERHEAD    ,C019960007
HQ Houston,NESR BVI,INDIA HQ OVERHEAD   ,C019960008
HQ Houston,NESR BVI,LIBYA HQ OVERHEAD   ,C019960009
HQ Houston,NESR BVI,INDONESIA HQ OVERH. ,C019960010
HQ Houston,NESR BVI,KUWAIT HQ OVERHEAD  ,C019960011
HQ Houston,NESR BVI,SSA HQ OVERHEAD     ,C019960012
HQ Houston,NESR BVI,YEMEN HQ OVERHEAD   ,C019960013
HQ Houston,NESR BVI,JORDAN HQ OVERHEAD  ,C019960014
HQ Houston,NESR BVI,ELIMINATIONS        ,C019999999
HQ Houston,NESR TEXAS,WATER & PROD ASSURAN,C024600101
HQ Houston,NESR TEXAS,TECHNICAL MANAGEMENT,C027700005
HQ Houston,NESR TEXAS,SUPPLY CHAIN        ,C028800001
HQ Houston,NESR TEXAS,FINANCE             ,C028800002
HQ Houston,NESR TEXAS,OFFICE FACILITY     ,C028800003
HQ Houston,NESR TEXAS,ADMIN GOVT & SECURIT,C028800004
HQ Houston,NESR TEXAS,BUSINESS DEVELOPMENT,C028800005
HQ Houston,NESR TEXAS,IT                  ,C028800006
HQ Houston,NESR TEXAS,HUMAN RESOURCES     ,C028800007
HQ Houston,NESR TEXAS,INTERNS             ,C028800008
HQ Houston,NESR TEXAS,MANAGEMENT          ,C028800009
HQ Houston,NESR TEXAS,LEGAL               ,C028800010
HQ Houston,NESR TEXAS,KSA HQ OVERHEAD     ,C029960001
HQ Houston,NESR TEXAS,EGYPT HQ OVERHEAD   ,C029960002
HQ Houston,NESR TEXAS,OMAN HQ OVERHEAD    ,C029960003
HQ Houston,NESR TEXAS,ALGERIA HQ OVERHEAD ,C029960004
HQ Houston,NESR TEXAS,UAE HQ OVERHEAD     ,C029960005
HQ Houston,NESR TEXAS,QATAR HQ OVERHEAD   ,C029960006
HQ Houston,NESR TEXAS,IRAQ HQ OVERHEAD    ,C029960007
HQ Houston,NESR TEXAS,INDIA HQ OVERHEAD   ,C029960008
HQ Houston,NESR TEXAS,LIBYA HQ OVERHEAD   ,C029960009
HQ Houston,NESR TEXAS,INDONESIA HQ OVERH. ,C029960010
HQ Houston,NESR TEXAS,KUWAIT HQ OVERHEAD  ,C029960011
HQ Houston,NESR TEXAS,SSA HQ OVERHEAD     ,C029960012
HQ Houston,NESR TEXAS,YEMEN HQ OVERHEAD   ,C029960013
HQ Houston,NESR TEXAS,JORDAN HQ OVERHEAD  ,C029960014
HQ Houston,NESR TEXAS,ELIMINATIONS        ,C029999999
HQ Houston,NESR-USA,TECHNICAL MANAGEMENT,C037700005
HQ Houston,NESR-USA,SUPPLY CHAIN        ,C038800001
HQ Houston,NESR-USA,FINANCE             ,C038800002
HQ Houston,NESR-USA,OFFICE FACILITY     ,C038800003
HQ Houston,NESR-USA,ADMIN GOVT & SECURIT,C038800004
HQ Houston,NESR-USA,BUSINESS DEVELOPMENT,C038800005
HQ Houston,NESR-USA,IT                  ,C038800006
HQ Houston,NESR-USA,HUMAN RESOURCES     ,C038800007
HQ Houston,NESR-USA,INTERNS             ,C038800008
HQ Houston,NESR-USA,MANAGEMENT          ,C038800009
HQ Houston,NESR-USA,LEGAL               ,C038800010
HQ Houston,NESR-USA,KSA HQ OVERHEAD     ,C039960001
HQ Houston,NESR-USA,EGYPT HQ OVERHEAD   ,C039960002
HQ Houston,NESR-USA,OMAN HQ OVERHEAD    ,C039960003
HQ Houston,NESR-USA,ALGERIA HQ OVERHEAD ,C039960004
HQ Houston,NESR-USA,UAE HQ OVERHEAD     ,C039960005
HQ Houston,NESR-USA,QATAR HQ OVERHEAD   ,C039960006
HQ Houston,NESR-USA,IRAQ HQ OVERHEAD    ,C039960007
HQ Houston,NESR-USA,INDIA HQ OVERHEAD   ,C039960008
HQ Houston,NESR-USA,LIBYA HQ OVERHEAD   ,C039960009
HQ Houston,NESR-USA,INDONESIA HQ OVERH. ,C039960010
HQ Houston,NESR-USA,KUWAIT HQ OVERHEAD  ,C039960011
HQ Houston,NESR-USA,SSA HQ OVERHEAD     ,C039960012
HQ Houston,NESR-USA,YEMEN HQ OVERHEAD   ,C039960013
HQ Houston,NESR-USA,JORDAN HQ OVERHEAD  ,C039960014
HQ Houston,NESR-USA,ELIMINATIONS        ,C039999999
HQ Houston,NESR-UK,TECHNICAL MANAGEMENT,C047700005
HQ Houston,NESR-UK,SUPPLY CHAIN        ,C048800001
HQ Houston,NESR-UK,FINANCE             ,C048800002
HQ Houston,NESR-UK,OFFICE FACILITY     ,C048800003
HQ Houston,NESR-UK,ADMIN GOVT & SECURIT,C048800004
HQ Houston,NESR-UK,BUSINESS DEVELOPMENT,C048800005
HQ Houston,NESR-UK,IT                  ,C048800006
HQ Houston,NESR-UK,HUMAN RESOURCES     ,C048800007
HQ Houston,NESR-UK,INTERNS             ,C048800008
HQ Houston,NESR-UK,MANAGEMENT          ,C048800009
HQ Houston,NESR-UK,LEGAL               ,C048800010
HQ Houston,NESR-UK,KSA HQ OVERHEAD     ,C049960001
HQ Houston,NESR-UK,EGYPT HQ OVERHEAD   ,C049960002
HQ Houston,NESR-UK,OMAN HQ OVERHEAD    ,C049960003
HQ Houston,NESR-UK,ALGERIA HQ OVERHEAD ,C049960004
HQ Houston,NESR-UK,UAE HQ OVERHEAD     ,C049960005
HQ Houston,NESR-UK,QATAR HQ OVERHEAD   ,C049960006
HQ Houston,NESR-UK,IRAQ HQ OVERHEAD    ,C049960007
HQ Houston,NESR-UK,INDIA HQ OVERHEAD   ,C049960008
HQ Houston,NESR-UK,LIBYA HQ OVERHEAD   ,C049960009
HQ Houston,NESR-UK,INDONESIA HQ OVERH. ,C049960010
HQ Houston,NESR-UK,KUWAIT HQ OVERHEAD  ,C049960011
HQ Houston,NESR-UK,SSA HQ OVERHEAD     ,C049960012
HQ Houston,NESR-UK,YEMEN HQ OVERHEAD   ,C049960013
HQ Houston,NESR-UK,JORDAN HQ OVERHEAD  ,C049960014
HQ Houston,NESR-UK,ELIMINATIONS        ,C049999999
HQ Dubai,NPS Holdings Limited DIFC,TECHNICAL MANAGEMENT,C107700005
HQ Dubai,NPS Holdings Limited DIFC,SUPPLY CHAIN        ,C108800001
HQ Dubai,NPS Holdings Limited DIFC,FINANCE             ,C108800002
HQ Dubai,NPS Holdings Limited DIFC,OFFICE FACILITY     ,C108800003
HQ Dubai,NPS Holdings Limited DIFC,ADMIN GOVT & SECURIT,C108800004
HQ Dubai,NPS Holdings Limited DIFC,BUSINESS DEVELOPMENT,C108800005
HQ Dubai,NPS Holdings Limited DIFC,IT                  ,C108800006
HQ Dubai,NPS Holdings Limited DIFC,HUMAN RESOURCES     ,C108800007
HQ Dubai,NPS Holdings Limited DIFC,INTERNS             ,C108800008
HQ Dubai,NPS Holdings Limited DIFC,MANAGEMENT          ,C108800009
